date,no tickets sol,sell_amt,purchase_amt,Ratio,no tickets sol * Ratio,norm_ratio,norm_ratio_cum_sum,norm_ratio*1000,no tickets sol_cumsum,actual_cumsum_ratio
2021-12-27,350,59.6,115.16635952571428,0.5175122340017403,181.1292819006091,0.0012339565786958402,0.11714420008579628,1.2339565786958402,15840,0.10770747628599599
2021-12-28,536,130.31893656716417,116.73671362126865,1.1163491974766449,598.3631698474817,0.00407639318245491,0.12122059326825119,4.07639318245491,16376,0.11135212321082515
2021-12-29,24,56.45000000000001,77.78455558333333,0.7257224724967817,17.417339339922762,0.00011865690757648435,0.12133925017582767,0.11865690757648435,16400,0.11151531635671302
2021-12-30,189,191.76,117.39345325925926,1.6334812093524913,308.72794856762084,0.0021032318969349682,0.12344248207276264,2.103231896934968,16589,0.11280046238058002
2021-12-31,899,110.24502780867631,110.07196107007786,1.001572305398359,900.4135025531247,0.0061341333293181656,0.1295766154020808,6.134133329318166,17488,0.11891340563696325
2022-01-01,640,171.9370625,109.3452705734375,1.5724234033928806,1006.3509781714436,0.006855840187524482,0.13643245558960526,6.855840187524482,18128,0.12326522286063986
2022-01-02,304,152.34967105263158,109.91564638157895,1.386059911104378,421.3622129757309,0.002870561122196402,0.13930301671180167,2.8705611221964022,18432,0.12533233604188623
2022-01-03,106,57.698490566037734,101.13999528301886,0.5704814441070589,60.471033075348245,0.0004119633683790847,0.13971498008018077,0.4119633683790847,18538,0.12605310576955767
2022-01-04,348,59.686249999999994,112.09392912068967,0.5324663919643392,185.29830440359004,0.0012623583516742545,0.14097733843185503,1.2623583516742545,18886,0.12841940638493182
2022-01-05,145,264.2271724137931,109.14375172413794,2.420909747372715,351.03191336904365,0.002391430774134058,0.1433687692059891,2.391430774134058,19031,0.12940536497467106
2022-01-06,348,175.98422413793105,112.09392912068967,1.569971054796837,546.3499270692993,0.003722049133651908,0.147090818339641,3.722049133651908,19379,0.13177166559004522
2022-01-07,379,68.36385224274407,105.20994679155673,0.6497850662180013,246.26854009662247,0.0016777225746679543,0.14876854091430894,1.6777225746679543,19758,0.1343487573521912
2022-01-08,532,219.068984962406,104.25041917669172,2.1013727013520285,1117.9302771192793,0.007615982382857111,0.15638452329716604,7.615982382857111,20290,0.13796620541937238
2022-01-09,189,56.05,117.39345325925926,0.47745422290470974,90.23884812899014,0.0006147588017480443,0.1569992820989141,0.6147588017480443,20479,0.13925135144323939
2022-01-11,817,69.18325581395348,106.01989943206856,0.6525497211802406,533.1331222042566,0.0036320086766842277,0.16063129077559832,3.6320086766842277,21296,0.14480671811783905
2022-01-12,417,143.13791366906474,111.20759192565947,1.287123578440132,536.7305322095351,0.0036565162974051863,0.1642878070730035,3.656516297405186,21713,0.14764219902764084
2022-01-13,175,227.45,117.51208190857143,1.9355456588452253,338.7204902979144,0.002307558297346656,0.16659536537035016,2.307558297346656,21888,0.1488321490497399
2022-01-14,390,157.87564102564102,102.86533205641027,1.5347798706279747,598.5641495449102,0.004077762371451983,0.17067312774180216,4.077762371451984,22278,0.15148403767041785
2022-01-15,776,110.0912886597938,110.31328458118557,0.9979875866969732,774.4383672768512,0.0052759184383015115,0.17594904618010368,5.275918438301511,23054,0.15676061605412572
2022-01-16,898,175.17128062360803,113.76388808574609,1.5397793058160774,1382.7218166228374,0.009419894255773978,0.18536894043587765,9.419894255773979,23952,0.16286675959609698
2022-01-17,351,155.7522507122507,112.99640550997151,1.3783823477332309,483.81220405436403,0.003296006287784047,0.1886649467236617,3.2960062877840466,24303,0.1652534593547071
2022-01-18,86,58.61,115.63447287209303,0.5068557718495451,43.58959637906088,0.00029695733704809477,0.18896190406070978,0.2969573370480948,24389,0.16583823479413864
2022-01-19,213,209.40000000000003,112.87589593427231,1.8551347767102886,395.14370743929146,0.0026919456214293002,0.19165384968213908,2.6919456214293,24602,0.16728657396389351
2022-01-20,1017,59.989233038348075,108.10251032546707,0.5549291395522353,564.3629349246233,0.0038447640768788883,0.19549861375901798,3.844764076878888,25619,0.1742018835208921
2022-01-21,615,110.24531707317072,106.59454363252031,1.0342491586927403,636.0632325960353,0.004333227637699704,0.19983184139671767,4.333227637699704,26234,0.17838370788426886
2022-01-23,233,224.0631974248927,109.7351330472103,2.0418547023449283,475.75214564636826,0.0032410965460081334,0.2030729379427258,3.2410965460081336,26467,0.17996804134226363
2022-01-26,351,81.21319088319088,104.2925151994302,0.7787058421967619,273.3257506110634,0.0018620518148941333,0.20493498975761992,1.8620518148941332,26818,0.18235474110087377
2022-01-27,518,65.96023166023166,109.3815057934363,0.603029106079373,312.3690769491152,0.0021280373523151013,0.20706302710993502,2.1280373523151015,27336,0.185876993166287
2022-01-28,522,74.35363984674329,107.6539562624521,0.6906726183427464,360.5311067749136,0.002456144729119588,0.2095191718390546,2.456144729119588,27858,0.18942644408934825
